"","Name","Price","Opinions","Product_Weight","Volume","Power","Height","Width","Depth"
"90","VicTsing, Aspiradora de Mano, 6500PA, Aspirador Mano Sin Cable de Tecnología Ciclónica, Aspirador Potente Sin Bolsa con Seco y Húmedo, 600ml Depósito,14.8V, Con 2 Filtro Lavable+3 Boquillas",41.99,506,2,0.6,100,43.5,15,15
"91","AmazonBasics - Aspiradora cilíndrica sin bolsa, 2,5  L, 700 W [clase energética A]",69.99,312,6,2.5,700,45.3,42,32
"92","Robot Aspirador de Alto Rendimiento, Especial Mascotas, Todo Tipo De Suelos, Autonomía Hasta 90 Min, Sensor De Obstaculos, Mando A Distancia Incluido, Tecnología Silenciosa 70 dB. H.Koenig_SWR28",179.9,35,3.2,0.4,24,32,41,62
"93","Awinker Kit de Filtro de Espuma y Filtro HEPA para Aspiradoras Rowenta ZR005901 Compact Power Cyclonic RO3753EA, O3718EA, RO3724EA, RO3731EA, RO3753EA, RO3786EA, RO3798EA Tefal/Moulinex",18.49,17,0.381,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"94","Bolsas de Almacenaje al Vacío,Bolsas Vacio Ropa,Reutilizable Bolsas de Vacio Ahorro de Espacio Almacenaje al Vacío Para Guardar Ropa, Ropa de Cama, Edredones, Almohadas(8Pcs, Bomba de Mano Incluida)",93.9065454545455,56,0.739,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"95","Bosch BCH6ATH25K Athlet - Aspirador escoba + Kit de accesorios. 25.2 V, sin bolsa, autonomía hasta 60 minutos, depósito 0.9 l, color blanco",229.99,342,3,0.9,2400,24,14,61
"96","URAQT Aspiradora de Mano, 120W Aspirador Mano Sin Cable Potente, Carga rápida USB Aspiradoras en Seco y Húmedo, Batería de 2200mAh,Filtro Lavable, Accesorio Completo para Oficina Hogar y Coche",25.99,13,0.748,2.79065040650406,120,41.7927401574803,31.3622047244094,34.1574803149606
"97","TACKLIFE Aspirador de Cenizas, 800W, 18 L, Soplador 140W, 14 Kpa, 1.3M Tubo Flexible + 0.2M Tubo Aluminio, Cable 5M, Aspiradora para Chimeneas, Estufas y Quemadores de Madera, Recoger el Polvo-PVC03A",93.9065454545455,17,4.4,2.79065040650406,800,41.7927401574803,31.3622047244094,34.1574803149606
"98","Rowenta Compact Power Cyclonic RO3724EA Aspirador sin bolsa, formato compacto, accesorios para ranuras, eficiente en todo tipo de suelo, filtro ciclónico alta eficiencia, vaciado y limpieza fácil",99.99,6,0.499,1.5,2000,32,35,39
"99","Rowenta X-Trem Power RO6963EA - Aspirador 4A, ciclónico sin bolsa, depósito 2.5 L, boquilla ranuras XXL, cepillo tapicería, mini turbo brush, tubo telescópico, nivel de ruido 75 dB",149,157,5.1,2.5,750,28,54,38
"100","Dibea Aspiradora escoba sin Cable Aspiradoras de mano verticales 2 en 1, 9000pa Aspiración 2 Velocidades, 45 Min. Batería de ión-litio Recargable, Multiple Funciones Alfombra Suelo duro Coche, D18-Oro",139,119,2.2,2.79065040650406,120,104,21,23
"101","Hoover Sprint EVO SE61 Aspirador trineo sin bolsa con filtro EPA, ideal parquet y mascotas, 700W, nivel de ruido 80dBA, color azul",87,369,4.1,1.5,700,26.5,30,44
"102","Roidmi F8 Lite - Aspiradora sin cable, versión EU en Español, 415W, 80.000 RPM, batería hasta 40 mins., depósito 0.4L, color azul",199.9,168,4.78,0.4,535.027210884354,119.1,23,16
"103","AEG LX7-2-CR-A Aspiradora Trineo Sin Bolsa, Especial Mascotas, Co, 750 W, 72 Decibelios, Rojo",134.95,96,7.59,1.4,600,41.7927401574803,31.3622047244094,34.1574803149606
